r_um,fluence_mJ_cm2
1.026086956521739069e+01,2.855371900826446208e+01
1.043478260869565233e+01,2.838842975206611641e+01
1.060869565217391219e+01,2.822314049586776719e+01
1.078260869565217384e+01,2.801652892561983421e+01
1.095652173913043548e+01,2.789256198347107585e+01
1.113043478260869534e+01,2.772727272727272663e+01
1.130434782608695699e+01,2.756198347107438096e+01
1.147826086956521685e+01,2.735537190082644798e+01
1.165217391304347849e+01,2.723140495867768607e+01
1.182608695652173836e+01,2.698347107438016579e+01
1.200000000000000000e+01,2.681818181818181657e+01
1.217391304347826164e+01,2.665289256198347090e+01
1.234782608695652151e+01,2.648760330578512523e+01
1.252173913043478315e+01,2.623966942148760495e+01
1.269565217391304301e+01,2.607438016528925573e+01
1.286956521739130466e+01,2.590909090909091006e+01
1.304347826086956452e+01,2.566115702479338978e+01
1.321739130434782616e+01,2.553719008264462786e+01
1.339130434782608781e+01,2.537190082644628220e+01
1.356521739130434767e+01,2.512396694214876192e+01
1.373913043478260931e+01,2.491735537190082539e+01
1.391304347826086918e+01,2.475206611570247972e+01
1.408695652173913082e+01,2.454545454545454675e+01
1.426086956521739069e+01,2.438016528925619752e+01
1.443478260869565233e+01,2.417355371900826455e+01
1.460869565217391219e+01,2.400826446280991888e+01
1.478260869565217384e+01,2.371900826446281130e+01
1.495652173913043548e+01,2.359504132231404938e+01
1.513043478260869534e+01,2.330578512396694180e+01
1.530434782608695699e+01,2.314049586776859613e+01
1.547826086956521685e+01,2.297520661157024691e+01
1.565217391304347849e+01,2.276859504132231393e+01
1.582608695652173836e+01,2.256198347107438096e+01
1.600000000000000000e+01,2.235537190082644798e+01
1.617391304347826164e+01,2.214876033057851146e+01
1.634782608695652328e+01,2.190082644628099118e+01
1.652173913043478137e+01,2.173553719008264551e+01
1.669565217391304301e+01,2.152892561983470898e+01
1.686956521739130466e+01,2.140495867768595062e+01
1.704347826086956630e+01,2.111570247933884303e+01
1.721739130434782439e+01,2.095041322314049737e+01
1.739130434782608603e+01,2.074380165289256084e+01
1.756521739130434767e+01,2.053719008264462786e+01
1.773913043478260931e+01,2.028925619834710758e+01
1.791304347826087096e+01,2.016528925619834567e+01
1.808695652173912904e+01,2.000000000000000000e+01
1.826086956521739069e+01,1.971074380165289242e+01
1.843478260869565233e+01,1.954545454545454675e+01
1.860869565217391397e+01,1.938016528925619752e+01
1.878260869565217561e+01,1.909090909090908994e+01
1.895652173913043370e+01,1.892561983471074427e+01
1.913043478260869534e+01,1.876033057851239505e+01
1.930434782608695699e+01,1.851239669421487477e+01
1.947826086956521863e+01,1.834710743801652910e+01
1.965217391304347672e+01,1.809917355371900882e+01
1.982608695652173836e+01,1.793388429752065960e+01
2.000000000000000000e+01,1.772727272727272663e+01
2.017391304347826164e+01,1.752066115702479365e+01
2.034782608695652328e+01,1.731404958677686068e+01
2.052173913043478137e+01,1.710743801652892415e+01
2.069565217391304301e+01,1.694214876033057848e+01
2.086956521739130466e+01,1.673553719008264551e+01
2.104347826086956630e+01,1.652892561983470898e+01
2.121739130434782439e+01,1.632231404958677601e+01
2.139130434782608603e+01,1.611570247933884303e+01
2.156521739130434767e+01,1.590909090909090828e+01
2.173913043478260931e+01,1.574380165289256261e+01
2.191304347826087096e+01,1.553719008264462786e+01
2.208695652173912904e+01,1.541322314049586772e+01
2.226086956521739069e+01,1.516528925619834745e+01
2.243478260869565233e+01,1.500000000000000000e+01
2.260869565217391397e+01,1.475206611570247972e+01
2.278260869565217561e+01,1.458677685950413228e+01
2.295652173913043370e+01,1.438016528925619752e+01
2.313043478260869534e+01,1.425619834710743739e+01
2.330434782608695699e+01,1.400826446280991711e+01
2.347826086956521863e+01,1.384297520661156966e+01
2.365217391304347672e+01,1.367768595041322399e+01
2.382608695652173836e+01,1.347107438016528924e+01
2.400000000000000000e+01,1.334710743801652910e+01
2.417391304347826164e+01,1.318181818181818166e+01
2.434782608695652328e+01,1.301652892561983421e+01
2.452173913043478137e+01,1.276859504132231393e+01
